cpu_pct,trial,ster,accuracy,delta_mean,delta_p99,n_infer,n_violations
0,1,0.000000,1.000000,0.000000,0.000000,1969,0
0,2,0.000000,1.000000,0.000000,0.000000,1973,0
0,3,0.000000,1.000000,0.000000,0.000000,1975,0
0,4,0.000000,1.000000,0.000000,0.000000,1975,0
0,5,0.000000,1.000000,0.000000,0.000000,1976,0
25,1,0.000000,1.000000,0.000000,0.000000,1974,0
25,2,0.000000,1.000000,0.000000,0.000000,1970,0
25,3,0.000000,1.000000,0.000000,0.000000,1969,0
25,4,0.000000,1.000000,0.000000,0.000000,1974,0
25,5,0.000000,1.000000,0.000000,0.000000,1972,0
50,1,0.000000,1.000000,0.000000,0.000000,1977,0
50,2,0.000000,1.000000,0.000000,0.000000,1972,0
50,3,0.000000,1.000000,0.000000,0.000000,1973,0
50,4,0.000000,1.000000,0.000000,0.000000,1972,0
50,5,0.000000,1.000000,0.000000,0.000000,1973,0
75,1,0.000000,1.000000,0.000000,0.000000,1975,0
75,2,0.000000,1.000000,0.000000,0.000000,1972,0
75,3,0.000000,1.000000,0.000000,0.000000,1973,0
75,4,0.000000,1.000000,0.000000,0.000000,1969,0
75,5,0.000000,1.000000,0.000000,0.000000,1970,0
100,1,0.000000,1.000000,0.000000,0.000000,1970,0
100,2,0.000000,1.000000,0.000000,0.000000,1968,0
100,3,0.000000,1.000000,0.000000,0.000000,1969,0
100,4,0.000000,1.000000,0.000000,0.000000,1969,0
100,5,0.000000,1.000000,0.000000,0.000000,1970,0
