vm_pct,trial,ster,accuracy,delta_mean,delta_p99,n_infer,n_violations
25,1,0.000000,1.000000,0.000000,0.000000,2000,0
25,2,0.000000,1.000000,0.000000,0.000000,2000,0
25,3,0.000000,1.000000,0.000000,0.000000,2000,0
25,4,0.000000,1.000000,0.000000,0.000000,2000,0
25,5,0.000000,1.000000,0.000000,0.000000,2000,0
50,1,0.000000,1.000000,0.000000,0.000000,2000,0
50,2,0.000000,1.000000,0.000000,0.000000,2000,0
50,3,0.000000,1.000000,0.000000,0.000000,2000,0
50,4,0.000000,1.000000,0.000000,0.000000,2000,0
50,5,0.000000,1.000000,0.000000,0.000000,2000,0
75,1,0.000000,1.000000,0.000000,0.000000,2000,0
75,2,0.000000,1.000000,0.000000,0.000000,2000,0
75,3,0.000000,1.000000,0.000000,0.000000,2000,0
75,4,0.000000,1.000000,0.000000,0.000000,2000,0
75,5,0.000000,1.000000,0.000000,0.000000,2000,0
90,1,0.000000,1.000000,0.000000,0.000000,2000,0
90,2,0.000000,1.000000,0.000000,0.000000,2000,0
90,3,0.000000,1.000000,0.000000,0.000000,2000,0
90,4,0.000000,1.000000,0.000000,0.000000,2000,0
90,5,0.000000,1.000000,0.000000,0.000000,2000,0
