trial,ster,acc,delta_mean,delta_p99
1,0.0,0.012,0.018294967075809836,0.024390242993831635
2,0.0,0.012,0.01829990177601576,0.02380952425301075
3,0.0,0.016,0.01815035680308938,0.023255813866853714
4,0.0,0.016,0.01826897988654673,0.02326135097071528
5,0.0,0.016,0.018111839171499014,0.023255813866853714
6,0.0,0.02,0.01813299990259111,0.023255813866853714
7,0.0,0.012,0.01806433152779937,0.023255813866853714
8,0.0,0.01,0.018133367830887436,0.023255813866853714
9,0.0,0.02,0.01813143143802881,0.02326135097071528
10,0.0,0.018,0.0179804153367877,0.022732558809220788
