load_pct,trial,ster,delta_mean,delta_p99,accuracy,n_timing_violations
0,1,0.000000,0.018272,0.023256,0.0180,0
0,2,0.000000,0.018357,0.025000,0.0120,0
0,3,0.000000,0.018306,0.023810,0.0120,0
0,4,0.000000,0.017974,0.022727,0.0160,0
0,5,0.000000,0.018191,0.025000,0.0160,0
0,6,0.000000,0.018072,0.023810,0.0160,0
0,7,0.000000,0.017960,0.023256,0.0200,0
0,8,0.000000,0.017909,0.023256,0.0120,0
0,9,0.000000,0.018117,0.023256,0.0100,0
0,10,0.000000,0.018136,0.023810,0.0200,0
25,1,0.000000,0.017893,0.022222,0.0180,0
25,2,0.000000,0.018431,0.024390,0.0140,0
25,3,0.000000,0.018279,0.023256,0.0120,0
25,4,0.000000,0.018055,0.023810,0.0200,0
25,5,0.000000,0.017972,0.023256,0.0160,0
25,6,0.000000,0.018059,0.023256,0.0080,0
25,7,0.000000,0.017950,0.022727,0.0120,0
25,8,0.000000,0.018120,0.022727,0.0100,0
25,9,0.000000,0.018100,0.023810,0.0160,0
25,10,0.000000,0.018139,0.023256,0.0160,0
50,1,0.000000,0.017893,0.022727,0.0280,0
50,2,0.000000,0.018074,0.023810,0.0260,0
50,3,0.000000,0.017914,0.022727,0.0180,0
50,4,0.000000,0.018100,0.023810,0.0100,0
50,5,0.000000,0.017837,0.023810,0.0100,0
50,6,0.000000,0.017910,0.023256,0.0180,0
50,7,0.000000,0.017940,0.023256,0.0120,0
50,8,0.000000,0.017988,0.023256,0.0160,0
50,9,0.000000,0.018057,0.023810,0.0180,0
50,10,0.000000,0.018031,0.024390,0.0140,0
75,1,0.000000,0.018058,0.023256,0.0060,0
75,2,0.000000,0.017955,0.022727,0.0240,0
75,3,0.000000,0.018268,0.024390,0.0100,0
75,4,0.000000,0.018054,0.022727,0.0180,0
75,5,0.000000,0.018155,0.024390,0.0180,0
75,6,0.000000,0.017984,0.023810,0.0200,0
75,7,0.000000,0.018079,0.023256,0.0180,0
75,8,0.000000,0.017782,0.023256,0.0140,0
75,9,0.000000,0.018119,0.023810,0.0200,0
75,10,0.000000,0.018280,0.024390,0.0060,0
100,1,0.000000,0.018215,0.023256,0.0060,0
100,2,0.000000,0.018052,0.024390,0.0160,0
100,3,0.000000,0.017941,0.024390,0.0100,0
100,4,0.000000,0.017949,0.022222,0.0140,0
100,5,0.000000,0.018351,0.023256,0.0140,0
100,6,0.000000,0.018098,0.023810,0.0160,0
100,7,0.000000,0.017992,0.023810,0.0200,0
100,8,0.000000,0.018161,0.025000,0.0180,0
100,9,0.000000,0.018218,0.023810,0.0100,0
100,10,0.000000,0.018049,0.023810,0.0160,0
