cotenants,trial,ster,accuracy,delta_mean,delta_p99,n_infer,n_violations
0,1,0.000000,0.012000,0.018295,0.024390,500,0
0,2,0.000000,0.012000,0.018300,0.023810,500,0
0,3,0.000000,0.016000,0.018150,0.023256,500,0
0,4,0.000000,0.016000,0.018269,0.023261,500,0
0,5,0.000000,0.016000,0.018112,0.023256,500,0
1,1,0.000000,0.020000,0.018133,0.023256,500,0
1,2,0.000000,0.012000,0.018064,0.023256,500,0
1,3,0.000000,0.010000,0.018133,0.023256,500,0
1,4,0.000000,0.020000,0.018131,0.023261,500,0
1,5,0.000000,0.018000,0.017980,0.022733,500,0
2,1,0.000000,0.014000,0.018343,0.023810,500,0
2,2,0.000000,0.012000,0.018240,0.023256,500,0
2,3,0.000000,0.020000,0.018176,0.023810,500,0
2,4,0.000000,0.016000,0.018120,0.023256,500,0
2,5,0.000000,0.008000,0.018197,0.023256,500,0
3,1,0.000000,0.012000,0.018078,0.023256,500,0
3,2,0.000000,0.010000,0.018135,0.023256,500,0
3,3,0.000000,0.016000,0.018184,0.023256,500,0
3,4,0.000000,0.016000,0.018126,0.023256,500,0
3,5,0.000000,0.028000,0.018056,0.023256,500,0
4,1,0.000000,0.026000,0.018158,0.023261,500,0
4,2,0.000000,0.018000,0.018054,0.023256,500,0
4,3,0.000000,0.010000,0.018151,0.023261,500,0
4,4,0.000000,0.010000,0.018030,0.023261,500,0
4,5,0.000000,0.018000,0.018054,0.023256,500,0
